"id","season","country","comp_level","lg_finish","squad","age","minutes_90s","goals_against_gk","pens_allowed","free_kick_goals_against_gk","corner_kick_goals_against_gk","own_goals_against_gk","psxg_gk","psnpxg_per_shot_on_target_against","psxg_net_gk","psxg_net_per90_gk","passes_completed_launched_gk","passes_launched_gk","passes_pct_launched_gk","passes_gk","passes_throws_gk","pct_passes_launched_gk","passes_length_avg_gk","goal_kicks","pct_goal_kicks_launched","goal_kick_length_avg","crosses_gk","crosses_stopped_gk","crosses_stopped_pct_gk","def_actions_outside_pen_area_gk","def_actions_outside_pen_area_per90_gk","avg_distance_def_actions_gk"
"10072610","2011-2012","ESP","1. La Liga","12th","Real Sociedad",28,37,51,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"10072610","2012-2013","ESP","1. La Liga","4th","Real Sociedad",29,31,40,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"10072610","2013-2014","ESP","1. La Liga","7th","Real Sociedad",30,37,54,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"10072610","2014-2015","ESP","1. La Liga","1st","Barcelona",31,37,19,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"10072610","2015-2016","ESP","1. La Liga","1st","Barcelona",32,32,22,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"10072610","2016-2017","ESP","1. La Liga","2nd","Barcelona",33,1,2,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"10072610","2016-2017","ENG","1. Premier League","3rd","Manchester City",33,21.9,26,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"10072610","2017-2018","ENG","1. Premier League","1st","Manchester City",34,2.5,1,0,0,0,0,1.4,0.28,0.4,0.17,9,15,60,63,13,15.9,27.4,10,50,39.1,10,0,0,3,1.2,16.5
"10072610","2019-2020","ENG","1. Premier League","2nd","Manchester City",36,3.9,7,0,0,0,0,4.2,0.28,-2.8,-0.72,19,47,40.4,104,13,27.9,31.5,28,64.3,48.2,35,3,8.6,1,0.26,12.4
"10072610","2020-2021","ESP","1. La Liga","6th","Betis",37,20,25,4,0,2,1,27.1,0.34,3.1,0.16,139,358,38.8,519,81,52.4,43,130,66.2,51.3,186,10,5.4,8,0.4,12.8
"10072610","2021-2022","ESP","1. La Liga","3rd","Betis",38,7,11,0,0,1,2,11,0.39,2,0.29,50,125,40,181,22,54.7,45.4,42,61.9,50.3,77,2,2.6,2,0.29,12.4
"10dc46f0","2008-2009","ITA","2. Serie B","19th","Ancona",21,15,24,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"10dc46f0","2009-2010","ITA","1. Serie A","5th","Palermo",22,32,39,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"10dc46f0","2010-2011","ITA","1. Serie A","8th","Palermo",23,37,62,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"10dc46f0","2011-2012","FRA","1. Ligue 1","2nd","Paris S-G",24,38,41,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"10dc46f0","2012-2013","FRA","1. Ligue 1","1st","Paris S-G",25,32.5,16,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
