"id","season","country","comp_level","lg_finish","squad","age","minutes_90s","cards_yellow","cards_red","cards_yellow_red","fouls","fouled","offsides","crosses","interceptions","tackles_won","pens_won","pens_conceded","own_goals","ball_recoveries","aerials_won","aerials_lost","aerials_won_pct"
"3745e8bd","2017-2018","GER","2. 2. Bundesliga","8th","Union Berlin",26,23.1,3,0,0,67,57,6,5,1,10,2,0,0,NULL,NULL,NULL,NULL
"3745e8bd","2018-2019","GER","2. 2. Bundesliga","3rd","Union Berlin",27,9.9,1,0,0,26,13,3,3,1,3,1,0,0,NULL,NULL,NULL,NULL
"3745e8bd","2019-2020","GER","1. Bundesliga","11th","Union Berlin",28,3.7,1,1,0,11,8,7,2,1,1,1,0,0,15,11,25,30.6
"3745e8bd","2020-2021","NED","1. Dutch Eredivisie","11th","Fortuna Sittard",29,29.3,1,1,0,89,51,11,9,5,19,NULL,NULL,1,NULL,NULL,NULL,NULL
"3745e8bd","2021-2022","GER","1. Bundesliga","12th","Bochum",30,13.4,1,0,0,32,18,3,3,4,4,0,1,0,43,61,61,50
"374d5158","2016","ARG","1. Primera Div","9th","River Plate",19,0.5,0,0,0,0,0,0,1,0,1,0,0,0,NULL,NULL,NULL,NULL
"374d5158","2016-2017","ARG","1. Primera Div","2nd","River Plate",19,3.5,2,1,1,4,3,0,0,8,5,0,0,0,NULL,NULL,NULL,NULL
"374d5158","2017-2018","ARG","1. Primera Div","8th","River Plate",20,14.4,3,0,0,8,10,2,22,37,18,0,2,0,NULL,NULL,NULL,NULL
"374d5158","2018-2019","ARG","1. Primera Div","4th","River Plate",21,10.9,0,0,0,6,14,3,24,31,13,0,0,0,NULL,NULL,NULL,NULL
"374d5158","2019-2020","ARG","1. Primera Div","2nd","River Plate",22,18.8,4,0,0,9,7,3,37,24,24,NULL,NULL,0,NULL,NULL,NULL,NULL
"374d5158","2021","ARG","1. Primera Div","1st","River Plate",24,3.2,0,0,0,1,2,0,14,2,3,NULL,NULL,0,NULL,NULL,NULL,NULL
"374d5158","2021-2022","ESP","1. La Liga","2nd","Sevilla",24,6.8,3,0,0,7,6,3,20,10,3,0,0,0,58,7,2,77.8
"374ee424","2015-2016","ESP","2. Segunda División","22nd","Bilbao B",20,33,1,1,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"374ee424","2016-2017","ESP","2. Segunda División","1st","Levante",21,4,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL
"374ee424","2017-2018","ESP","2. Segunda División","2nd","Huesca",22,40.3,5,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL
"374ee424","2019-2020","ESP","1. La Liga","6th","Real Sociedad",24,25,0,0,0,0,5,0,0,0,0,0,0,0,109,0,0,NULL
"374ee424","2020-2021","ESP","1. La Liga","5th","Real Sociedad",25,38,0,0,0,0,8,0,0,0,0,0,0,0,181,0,0,NULL
"374ee424","2021-2022","ESP","1. La Liga","6th","Real Sociedad",26,15,0,0,0,0,2,0,0,0,0,0,0,0,70,0,0,NULL
"375622c5","2012-2013","FRA","1. Ligue 1","3rd","Lyon",20,1.6,0,0,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
