"id","season","country","comp_level","lg_finish","squad","age","minutes_90s","touches","touches_def_pen_area","touches_def_3rd","touches_mid_3rd","touches_att_3rd","touches_att_pen_area","touches_live_ball","dribbles_completed","dribbles","dribbles_completed_pct","players_dribbled_past","nutmegs","carries","carry_distance","carry_progressive_distance","progressive_carries","carries_into_final_third","carries_into_penalty_area","miscontrols","dispossessed","pass_targets","passes_received","passes_received_pct","progressive_passes_received"
"00242b75","2018-2019","GER","1. Bundesliga","12th","Mainz 05",18,1,38,3,11,21,8,1,38,1,1,100,1,0,22,208,91,3,1,1,0,0,31,18,58.1,0
"00242b75","2018-2019","GER","Jr. U19 Bundesliga","9th","Mainz U19",18,17.7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"00242b75","2019-2020","GER","1. Bundesliga","13th","Mainz 05",19,10.4,498,19,121,302,92,9,485,4,8,50,5,0,260,818,449,22,8,2,9,7,272,247,90.8,22
"00242b75","2020-2021","GER","1. Bundesliga","12th","Mainz 05",20,25.6,1052,82,298,515,273,53,1041,7,15,46.7,8,0,461,1624,743,38,12,6,25,16,589,455,77.2,57
"00242b75","2021-2022","GER","1. Bundesliga","9th","Mainz 05",21,12.2,473,16,110,219,157,24,471,0,7,0,1,0,242,859,432,20,8,0,24,10,332,241,72.6,41
"00459419","2006-2007","NED","1. Dutch Eredivisie","4th","Twente",17,0.3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"00459419","2007-2008","NED","1. Dutch Eredivisie","4th","Twente",18,2.4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"00459419","2008-2009","NED","1. Dutch Eredivisie","2nd","Twente",19,25.2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"00459419","2009-2010","ITA","1. Serie A","1st","Inter",20,0.7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"00459419","2010-2011","GER","1. Bundesliga","13th","Werder Bremen",21,17.2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"00459419","2011-2012","GER","1. Bundesliga","9th","Werder Bremen",22,10.7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"00459419","2012-2013","GER","1. Bundesliga","14th","Werder Bremen",23,21.7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"00459419","2013-2014","ENG","1. Premier League","9th","Stoke City",24,25,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"00459419","2013-2014","GER","1. Bundesliga","12th","Werder Bremen",24,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"00459419","2014-2015","ENG","1. Premier League","9th","Stoke City",25,21.3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"00459419","2015-2016","ENG","1. Premier League","9th","Stoke City",26,31.2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"00459419","2016-2017","ENG","1. Premier League","13th","Stoke City",27,30.2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"00459419","2017-2018","ENG","1. Premier League","13th","West Ham",28,25.7,1092,43,124,420,630,159,1049,50,92,54.3,55,5,751,3941,2039,106,32,30,61,40,1304,763,58.5,229
"00459419","2018-2019","ENG","1. Premier League","10th","West Ham",29,22.1,866,11,54,337,532,137,823,26,41,63.4,28,1,630,2875,1157,66,26,20,44,37,1156,688,59.5,235
"00459419","2019","CHN","1. Super League","3rd","Shanghai SIPG",29,8.1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"00459419","2020","CHN","1. Super League","1st","Shanghai SIPG",30,10.2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"00459419","2021","CHN","1. Super League","4th","Shanghai SIPG",31,3.3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"00459419","2021-2022","ITA","1. Serie A","10th","Bologna",32,15.5,681,15,46,304,367,92,644,19,31,61.3,21,2,435,1807,696,43,15,7,52,22,821,521,63.5,126
"004d185e","2017-2018","ESP","2. Segunda División","15th","Gimnàstic",20,18.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"004d185e","2018-2019","ESP","2. Segunda División","20th","Gimnàstic",21,11.3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"004d185e","2018-2019","ESP","2. Segunda División","18th","Lugo",21,8.1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"004d185e","2019-2020","ESP","2. Segunda División","16th","Lugo",22,11.4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"004d185e","2019-2020","ESP","2. Segunda División","14th","Málaga",22,12.1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"004d185e","2020-2021","ESP","1. La Liga","17th","Elche",23,22.4,1025,32,215,494,393,42,990,49,76,64.5,49,3,704,3471,1772,82,25,4,44,46,946,717,75.8,86
"004d185e","2020-2021","ESP","2. Segunda División","12th","Málaga",23,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"004d185e","2021-2022","ESP","1. La Liga","17th","Elche",24,5.7,284,8,42,143,125,12,279,8,16,50,8,2,208,1259,647,37,7,3,15,9,253,198,78.3,31
