"id","season","country","comp_level","lg_finish","squad","age","minutes_90s","sca","sca_per90","sca_passes_live","sca_passes_dead","sca_dribbles","sca_shots","sca_fouled","sca_defense","gca","gca_per90","gca_passes_live","gca_passes_dead","gca_dribbles","gca_shots","gca_fouled","gca_defense"
"b1b25949","2010-2011","ENG","3. League One","13th","Charlton Ath",24,34.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"b1b25949","2011-2012","ENG","3. League One","1st","Charlton Ath",25,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"b1b25949","2012-2013","ENG","1. Premier League","16th","Newcastle Utd",26,9.3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"b1b25949","2013-2014","ENG","1. Premier League","10th","Newcastle Utd",27,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"b1b25949","2014-2015","ENG","1. Premier League","15th","Newcastle Utd",28,2.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"b1b25949","2015-2016","ENG","1. Premier League","18th","Newcastle Utd",29,21,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"b1b25949","2016-2017","ENG","2. Championship","1st","Newcastle Utd",30,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"b1b25949","2017-2018","ENG","1. Premier League","10th","Newcastle Utd",31,16,2,0.12,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"b1cd37e6","2011-2012","SRB","1. SuperLiga","6th","Radnički Krag",18,23.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"b1cd37e6","2012-2013","NED","1. Dutch Eredivisie","7th","Groningen",19,0.6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"b1cd37e6","2012-2013","SRB","1. SuperLiga","10th","Javor Ivanjica",19,1.4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"b1cd37e6","2013-2014","NED","1. Dutch Eredivisie","7th","Groningen",20,32.6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"b1cd37e6","2014-2015","GER","1. Bundesliga","14th","Stuttgart",21,17.1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"b1cd37e6","2015-2016","GER","1. Bundesliga","17th","Stuttgart",22,28.8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"b1cd37e6","2016-2017","GER","1. Bundesliga","14th","Hamburger SV",23,28,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"b1cd37e6","2017-2018","GER","1. Bundesliga","17th","Hamburger SV",24,27.1,58,2.17,36,5,3,4,8,2,4,0.15,2,0,1,1,0,0
"b1cd37e6","2018-2019","GER","1. Bundesliga","7th","Eint Frankfurt",25,32.8,86,2.62,62,11,4,6,3,0,13,0.4,10,1,0,2,0,0
"b1cd37e6","2019-2020","GER","1. Bundesliga","9th","Eint Frankfurt",26,32.9,141,4.29,65,46,10,13,6,1,20,0.61,9,8,0,3,0,0
"b1cd37e6","2020-2021","GER","1. Bundesliga","5th","Eint Frankfurt",27,28.2,120,4.26,81,29,1,5,3,1,24,0.85,16,5,1,1,1,0
"b1cd37e6","2021-2022","GER","1. Bundesliga","6th","Eint Frankfurt",28,15.1,68,4.51,42,21,1,4,0,0,8,0.53,6,2,0,0,0,0
"b1e5bbec","2020-2021","ESP","1. La Liga","9th","Granada",18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"b217ef29","2009-2010","GER","1. Bundesliga","2nd","Schalke 04",17,15.4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"b217ef29","2010-2011","GER","1. Bundesliga","14th","Schalke 04",18,16.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"b217ef29","2011-2012","GER","1. Bundesliga","3rd","Schalke 04",19,29.2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"b217ef29","2012-2013","GER","1. Bundesliga","4th","Schalke 04",20,31.9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"b217ef29","2013-2014","GER","1. Bundesliga","3rd","Schalke 04",21,31,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"b217ef29","2014-2015","GER","1. Bundesliga","6th","Schalke 04",22,17.2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"b217ef29","2015-2016","GER","1. Bundesliga","5th","Schalke 04",23,34,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"b217ef29","2016-2017","ENG","1. Premier League","4th","Liverpool",24,27.3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"b217ef29","2017-2018","ENG","1. Premier League","4th","Liverpool",25,22.2,19,0.86,16,0,0,2,1,0,0,0,0,0,0,0,0,0
"b217ef29","2018-2019","ENG","1. Premier League","2nd","Liverpool",26,17.1,9,0.53,6,0,1,0,1,1,1,0.06,0,0,0,0,0,1
"b217ef29","2019-2020","ENG","1. Premier League","1st","Liverpool",27,7.8,5,0.64,4,0,0,0,1,0,0,0,0,0,0,0,0,0
"b217ef29","2020-2021","ENG","1. Premier League","3rd","Liverpool",28,7.7,6,0.78,5,0,0,1,0,0,2,0.26,1,0,0,1,0,0
"b217ef29","2021-2022","ENG","1. Premier League","3rd","Liverpool",29,15,18,1.2,14,0,0,3,1,0,3,0.2,2,0,0,0,1,0
"b2336681","2019-2020","FRA","1. Ligue 1","4th","Lille",19,7.3,3,0.41,2,0,0,0,0,1,0,0,0,0,0,0,0,0
"b2336681","2020-2021","FRA","1. Ligue 1","1st","Lille",20,9.7,8,0.82,7,0,0,0,0,1,0,0,0,0,0,0,0,0
"b2336681","2021-2022","FRA","1. Ligue 1","8th","Lille",21,13.3,9,0.68,6,1,1,0,0,1,3,0.23,2,0,1,0,0,0
"b233e8e4","2012-2013","ESP","2. Segunda División","6th","Las Palmas",20,34,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"b233e8e4","2013-2014","ESP","1. La Liga","15th","Granada",21,31.4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"b233e8e4","2014-2015","ESP","1. La Liga","17th","Granada",22,17.7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"b233e8e4","2015-2016","ITA","1. Serie A","4th","Inter",23,31.6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"b233e8e4","2016-2017","ITA","1. Serie A","7th","Inter",24,23.1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"b233e8e4","2017-2018","ESP","1. La Liga","4th","Valencia",25,15.3,5,0.33,5,0,0,0,0,0,1,0.07,1,0,0,0,0,0
"b233e8e4","2018-2019","ESP","1. La Liga","1st","Barcelona",26,1.3,2,1.59,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"b233e8e4","2018-2019","ESP","1. La Liga","4th","Valencia",26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"b233e8e4","2019-2020","ESP","1. La Liga","17th","Celta Vigo",27,17,2,0.12,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"b233e8e4","2019-2020","ITA","1. Serie A","15th","Sampdoria",27,7.4,5,0.68,3,0,2,0,0,0,0,0,0,0,0,0,0,0
"b233e8e4","2020-2021","ESP","1. La Liga","8th","Celta Vigo",28,30,9,0.3,9,0,0,0,0,0,0,0,0,0,0,0,0,0
"b233e8e4","2021-2022","ESP","1. La Liga","14th","Celta Vigo",29,10.3,4,0.39,3,0,0,0,1,0,0,0,0,0,0,0,0,0
"b28bbd58","2008-2009","ENG","3. League One","17th","Yeovil Town",17,9.2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"b28bbd58","2009-2010","ENG","3. League One","17th","Leyton Orient",18,17.1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"b28bbd58","2009-2010","ENG","3. League One","12th","MK Dons",18,8.4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"b28bbd58","2010-2011","ENG","2. Championship","13th","Ipswich Town",19,8.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"b28bbd58","2010-2011","ENG","2. Championship","9th","Millwall",19,10.4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"b28bbd58","2010-2011","ENG","2. Championship","14th","Watford",19,1.6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"b28bbd58","2011-2012","ENG","2. Championship","4th","Birmingham City",20,11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"b28bbd58","2011-2012","ENG","2. Championship","14th","Leeds United",20,4.6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"b28bbd58","2012-2013","ENG","1. Premier League","20th","QPR",21,11.3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"b28bbd58","2012-2013","ENG","1. Premier League","5th","Tottenham",21,0.4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"b28bbd58","2013-2014","ENG","1. Premier League","6th","Tottenham",22,13.7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"b28bbd58","2014-2015","ENG","1. Premier League","5th","Tottenham",23,8.3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"b28bbd58","2015-2016","ENG","1. Premier League","18th","Newcastle Utd",24,12.1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"b28bbd58","2015-2016","ENG","1. Premier League","3rd","Tottenham",24,0.7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"b28bbd58","2016-2017","ENG","1. Premier League","14th","Crystal Palace",25,28,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"b28bbd58","2017-2018","ENG","1. Premier League","11th","Crystal Palace",26,34.7,118,3.4,77,16,5,6,9,5,11,0.32,8,1,0,0,2,0
"b28bbd58","2018-2019","ENG","1. Premier League","12th","Crystal Palace",27,33.4,129,3.86,98,6,14,3,6,2,11,0.33,8,0,1,1,1,0
"b28bbd58","2019-2020","ENG","1. Premier League","14th","Crystal Palace",28,14.4,23,1.6,17,1,0,2,2,1,2,0.14,2,0,0,0,0,0
"b28bbd58","2020-2021","ENG","1. Premier League","14th","Crystal Palace",29,25.1,66,2.63,36,17,7,0,3,3,7,0.28,5,2,0,0,0,0
"b28bbd58","2021-2022","ENG","1. Premier League","15th","Everton",30,14.1,50,3.55,36,7,1,1,4,1,4,0.28,4,0,0,0,0,0
"b2bc3b1f","2009-2010","ENG","2. Championship","21st","Crystal Palace",16,0.1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"b2bc3b1f","2010-2011","ENG","2. Championship","20th","Crystal Palace",17,29.2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"b2bc3b1f","2011-2012","ENG","2. Championship","17th","Crystal Palace",18,35.1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"b2bc3b1f","2012-2013","ENG","2. Championship","5th","Crystal Palace",19,42.3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"b2bc3b1f","2013-2014","ENG","1. Premier League","20th","Cardiff City",20,6.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"b2bc3b1f","2013-2014","ENG","1. Premier League","7th","Manchester Utd",20,0.3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"b2bc3b1f","2014-2015","ENG","1. Premier League","10th","Crystal Palace",21,22,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"b2bc3b1f","2015-2016","ENG","1. Premier League","15th","Crystal Palace",22,27.6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"b2bc3b1f","2016-2017","ENG","1. Premier League","14th","Crystal Palace",23,33.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"b2bc3b1f","2017-2018","ENG","1. Premier League","11th","Crystal Palace",24,28.3,121,4.27,73,0,28,4,13,3,14,0.49,8,0,4,0,2,0
"b2bc3b1f","2018-2019","ENG","1. Premier League","12th","Crystal Palace",25,33.7,135,4,84,0,26,8,16,1,18,0.53,9,0,3,0,6,0
"b2bc3b1f","2019-2020","ENG","1. Premier League","14th","Crystal Palace",26,36.4,106,2.91,62,0,22,5,15,2,7,0.19,4,0,0,1,2,0
"b2bc3b1f","2020-2021","ENG","1. Premier League","14th","Crystal Palace",27,29,85,2.93,48,0,16,5,14,2,12,0.41,8,0,2,1,1,0
"b2bc3b1f","2021-2022","ENG","1. Premier League","11th","Crystal Palace",28,15.5,51,3.3,39,0,4,5,3,0,6,0.39,5,0,1,0,0,0
"b2bd0f6c","2014-2015","FRA","1. Ligue 1","5th","Saint-Étienne",18,0.2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"b2bd0f6c","2015-2016","FRA","2. Ligue 2","20th","Paris FC",19,13.1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"b2bd0f6c","2015-2016","FRA","1. Ligue 1","6th","Saint-Étienne",19,3.3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"b2bd0f6c","2016-2017","FRA","1. Ligue 1","12th","Angers",20,9.3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"b2bd0f6c","2016-2017","BEL","1. First Division A","8th","Sint-Truiden",20,6.9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"b2bd0f6c","2017-2018","FRA","1. Ligue 1","7th","Saint-Étienne",21,28.6,95,3.32,60,15,8,8,4,0,14,0.49,6,1,1,3,3,0
"b2bd0f6c","2018-2019","FRA","1. Ligue 1","2nd","Lille",22,33.4,94,2.82,77,2,2,3,7,3,9,0.27,5,0,1,1,1,1
"b2bd0f6c","2019-2020","FRA","1. Ligue 1","4th","Lille",23,21.5,77,3.58,45,12,8,7,4,1,7,0.33,5,0,0,1,1,0
