"id","season","country","comp_level","lg_finish","squad","age","minutes_90s","passes_completed","passes","passes_pct","passes_total_distance","passes_progressive_distance","passes_completed_short","passes_short","passes_pct_short","passes_completed_medium","passes_medium","passes_pct_medium","passes_completed_long","passes_long","passes_pct_long","assists","xa","xa_net","assisted_shots","passes_into_final_third","passes_into_penalty_area","crosses_into_penalty_area","progressive_passes"
"02c15616","2020-2021","ESP","1. La Liga","1st","Atlético Madrid",25,32.8,1106,1341,82.5,19051,4369,552,618,89.3,398,465,85.6,116,165,70.3,11,5.2,5.8,42,81,38,14,99
"02c15616","2021-2022","ESP","1. La Liga","5th","Atlético Madrid",26,12,485,593,81.8,7735,2070,268,298,89.9,160,198,80.8,42,62,67.7,1,1.2,-0.2,14,23,12,8,31
"02caf6e0","2016-2017","ITA","2. Serie B","1st","SPAL",22,37,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"02caf6e0","2017-2018","ITA","1. Serie A","17th","SPAL",23,34.6,1189,1537,77.4,19490,6137,629,714,88.1,459,573,80.1,93,187,49.7,1,2,-1,29,60,36,24,97
"02caf6e0","2018-2019","ITA","1. Serie A","13th","SPAL",24,31.5,1102,1471,74.9,17564,5930,626,726,86.2,390,513,76,77,169,45.6,8,5.5,2.5,55,40,67,49,70
"02caf6e0","2019-2020","ITA","1. Serie A","4th","Lazio",25,28.3,845,1067,79.2,13718,3044,451,515,87.6,306,375,81.6,69,120,57.5,3,3.5,-0.5,38,11,43,22,40
"02caf6e0","2020-2021","ITA","1. Serie A","6th","Lazio",26,29,950,1180,80.5,15952,3731,451,515,87.6,393,476,82.6,74,131,56.5,5,3.9,1.1,30,28,33,20,38
"02caf6e0","2021-2022","ITA","1. Serie A","8th","Lazio",27,7.9,352,416,84.6,5308,1709,207,223,92.8,117,137,85.4,20,34,58.8,0,0.3,-0.3,3,22,6,2,19
"02ef8778","2012-2013","ESP","2. Segunda División","8th","Real Madrid B",17,0.7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"02ef8778","2013-2014","ESP","2. Segunda División","20th","Real Madrid B",18,18.9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL
